Ticker,Continent,Currency,Exchange,Name,Type
EGRW,America,USD,PCX,iShares MSCI Emerging Markets Growth,ETF
HMXJ.SW,Europe,USD,ISE,HSBC MSCI Pacific ex Japan ETF,ETF
EXS1.F,Europe,EUR,FRA,ISHCRDAXUCIETF T,ETF
JPNH.PA,Europe,EUR,PSX,Lyxor ETF Japan (TOPIX) Dly Hdg DEUR A/I,ETF
EXHH.HM,Europe,EUR,HAM,IS EGBC 2.5-5.5,ETF
LTAM.SW,Europe,USD,ISE,iShares MSCI EM Latin America (Inc),ETF
3595652.IR,Europe,USD,ISE,POSH FTSE WORLD GBP,ETF
JPNH.MI,Europe,EUR,PSX,Lyxor ETF Japan (TOPIX) Dly Hdg DEUR A/I,ETF
MRAI.SW,Europe,USD,EBS,RBS M A RICI A C,ETF
FINSW.MI,Europe,EUR,MIL,MUL LY W FINANC CC,ETF
XIT3.F,Europe,EUR,FRA,DBX MTS ITALY 3-5 D,ETF
IFFF.L,Europe,GBP,LSE,ISHARES PLC ISHARES MSCI AC FET,ETF
XBI.MX,America,MXN,MEX,SPDR S&P; BIOTECH,ETF
IEAG.AS,Europe,EUR,AMS,ISHS EUR AGG BD EUR,ETF
IKOR.SW,Europe,USD,EBS,ISHARES MSCI KO USD,ETF
CSUSL.SW,Europe,USD,EBS,ISHS MSCI US USD-AC,ETF
LYPK.DE,Europe,EUR,GER,LYX UCITS W GOVT BD,ETF
INSTHE,America,EUR,NIM,PIMCO STHY Corp Bond Index Sour,ETF
DXSD.F,Europe,EUR,FRA,DBXT SE600 O&G; 1C,ETF
XIGS.MI,Europe,EUR,MIL,DBXT SE600 IGS 1CC,ETF
JBSICX.SW,Europe,CHF,EBS,JB PHYSSILVERAX CHF,ETF
EMAE.PA,Europe,USD,ISE,SPDR MSCI EM Asia ETF,ETF
DX2S.SG,Europe,EUR,STU,DBX ASX 200 1C,ETF
ZID.TO,America,CAD,TOR,BMO India Equity ETF,ETF
EXH9.MU,Europe,EUR,MUN,ISHSEU600UTIL,ETF
XWUT.L,Europe,USD,LSE,DB X-TRACKERS DB X-TRACKERS MSC,ETF
DJSC.AS,Europe,EUR,AMS,ISHS EUR STO SM EUR,ETF
GSNDX2.MI,Europe,EUR,MIL,GSIEUS501593.249E18,ETF
CMU.PA,Europe,EUR,PAR,A MSC EMU UCITS ETF,ETF
AUCHAH.SW,Europe,CHF,EBS,UBSGLCHFH CHF ADIS,ETF
IBEL.L,Europe,EUR,LSE,iShares Belgium Government Bond,ETF
BULL-NOKSEK-X3-H.ST,Europe,SEK,STO,NOK/SEK/SHB CERT 19,ETF
CMXC.L,Europe,USD,LSE,ISHARES VII PLC ISHARES MSCI ME,ETF
O045.L,Europe,EUR,LSE,ISHARES PLC ISHARES DJ STOXX 60,ETF
TUR.PA,Europe,EUR,PAR,LYX UC ETF TURKEY,ETF
RORO,America,USD,NYS,SPDR SSgA Risk Aware ETF,ETF
PWC.MI,Europe,EUR,MIL,POWSHS DYN US USD,ETF
UGL,America,USD,PCX,ProShares Ultra Gold,ETF
UC57.L,Europe,GBP,LSE,UBS ETF UBS ETF-MSCI CANADA HED,ETF
UGA,America,USD,PCX,United States Gasoline ETF,ETF
EFZ,America,USD,PCX,ProShares Short MSCI EAFE,ETF
10737587.DU,Europe,EUR,DUS,ISHS MSC EMU EUR-AC,ETF
WEET,America,USD,PCX,iPath Pure Beta Grains ETN,ETF
AUM5.F,Europe,EUR,FRA,AM S&P; 500 ETF EUR,ETF
11960876.SG,Europe,USD,STU,3.745 ADIB SUKUK 15,ETF
NRGU.L,Europe,USD,LSE,Lyxor ETF S&P; 500 Capped Eng Sct C-USD,ETF
ZPRA.SG,Europe,EUR,STU,SPDR ASIA DIV USD,ETF
DBZN.SG,Europe,EUR,STU,DBXT DBCB BLU 2CC,ETF
XHCF.SG,Europe,EUR,STU,DBX CORP FIN HEDG C,ETF
HAA-A.TO,America,CAD,TOR,HORIZONS ACTIVE DIVERSIFIED INC,ETF
ALTE.AS,Europe,EUR,AMS,GO DAXGLB ALTER EUR,ETF
ZPRE.SG,Europe,EUR,STU,SPD MSCI EMU EUR-AC,ETF
FSZ,America,USD,PCX,First Trust Switzerland AlphaDEX ETF,ETF
CESL.PA,Europe,EUR,ISE,iShares MSCI EMU Small Cap,ETF
22375102.SW,Europe,GBP,EBS,UBS US HED GBP-A-AC,ETF
XHCP.F,Europe,EUR,FRA,DBX EUR CORP HEDG C,ETF
14338732.SW,Europe,EUR,EBS,L UCI BD 1-3Y C EUR,ETF
EUN0.DE,Europe,EUR,ISE,iShares MSCI Europe Minimum Volatility,ETF
93WX.L,Europe,SEK,LSE,SSI/RBS 15,ETF
EXVM.SG,Europe,EUR,STU,ISH ERMONEY MKT,ETF
O070.L,Europe,EUR,LSE,ISHARES PLC ISHARES DOW JONES C,ETF
2968024.DU,Europe,USD,DUS,BAYERNLB CAP TR VRN,ETF
EXI6.DE,Europe,EUR,GER,ISHSSTXNA600REC,ETF
18MY.SG,Europe,EUR,STU,AM GR 3-5 UC ETF C,ETF
12486381.DU,Europe,EUR,DUS,ISHS MSCI WD G-CT,ETF
EXHJ.MU,Europe,EUR,MUN,IS EGBC5.5-10.5,ETF
SPYA.HM,Europe,EUR,HAM,SPDR MSCI EM USD AC,ETF
GLUX.L,Europe,EUR,LSE,Amundi ETF S&P; Global Luxury EUR A/I,ETF
ZGD.TO,America,CAD,TOR,BMO S&P;/TSX Equal Weight Glbl Gold ETF,ETF
EXI6.DU,Europe,EUR,DUS,ISHSSTXNA600REC,ETF
CI3.MI,Europe,EUR,MIL,AM INF UCITS ETF C,ETF
GLUX.F,Europe,EUR,FRA,A S&P; LUX U ETF EUR,ETF
HRTB60-4.TA,Asia,ILS,TLV,TB60/HAREL SAL S4,ETF
20231396.SG,Europe,EUR,EWX,JPMZMHEE/JPM 16,ETF
SXR5.DE,Europe,EUR,GER,ISHS MSCI JP USD-AC,ETF
128879.L,Europe,USD,LSE,PRMH/HSBC 16 ELN,ETF
XJSS.SG,Europe,EUR,STU,DBX JP SHORT ETF 1C,ETF
IS0J.F,Europe,EUR,FRA,ISHS FIN GOV B G-CT,ETF
XFS.NX,Europe,EUR,ENX,DBXT FTSE100 SH 1C,ETF
LYS5.F,Europe,EUR,FRA,L GOV BD 3-5Y C EUR,ETF
SXR5.DU,Europe,EUR,DUS,ISHS MSCI JP USD-AC,ETF
EMMV.PA,Europe,EUR,PAR,OL EM MV UE1CC,ETF
XAL.TO,America,CAD,TOR,iShares Alternatives Complt Port Builder,ETF
H4ZV.DE,Europe,USD,ISE,HSBC MSCI Malaysia ETF,ETF
UIMD.F,Europe,EUR,FRA,UBS ETF MSCI PA AD,ETF
IYT,America,USD,PCX,iShares Transportation Average,ETF
IYW,America,USD,PCX,iShares US Technology,ETF
INDX-72.TA,Asia,ILS,TLV,RTY/INDEX SAL S72,ETF
IYR,America,USD,PCX,iShares US Real Estate,ETF
AMEM.DU,Europe,EUR,DUS,A EM MKT UC ETF EUR,ETF
SC0J.F,Europe,EUR,FRA,SO MSCI WO USD-A-AC,ETF
JB6W.F,Europe,EUR,FRA,J BAER SM EQ W SC,ETF
IYY,America,USD,PCX,iShares Dow Jones US,ETF
FNDF,America,USD,PCX,Schwab Fundamental Intl Lg Co ETF,ETF
DIV.HM,Europe,EUR,HAM,L UC ETF EUROST DIV,ETF
EUNT.SG,Europe,EUR,STU,ISHS ER CRP B G-CT,ETF
IYE,America,USD,PCX,iShares US Energy,ETF
IYG,America,USD,PCX,iShares US Financial Services,ETF
MUUSAS.SW,Europe,USD,ISE,UBS ETFs plc- MSCI USA SF (USD) A-acc,ETF
S2GBAH.SW,Europe,GBP,EBS,UBS ETF MS2035G AD,ETF
SLICHA.SW,Europe,CHF,EBS,UBS SLI R CHF ADIS,ETF
IYC,America,USD,PCX,iShares US Consumer Services,ETF
UEFI.F,Europe,EUR,FRA,UBS ETF BCU710Y AD,ETF
IYM,America,USD,PCX,iShares US Basic Materials,ETF
PSUU.SW,Europe,USD,EBS,POWSHS GLO AGRI USD,ETF
IYH,America,USD,PCX,iShares US Healthcare,ETF
IYK,America,USD,PCX,iShares US Consumer Goods,ETF
AHJ.MC,Europe,EUR,MCE,L U ETF/NA AS D EUR,ETF
X500.SG,Europe,EUR,STU,COMS ILSD OV IC,ETF
IQQG.BE,Europe,EUR,BER,ISHS EUR MR LG G-CT,ETF
11279840.SG,Europe,USD,STU,ARGENTINA 35 VRN,ETF
SXRS.MU,Europe,EUR,MUN,ISHS EUR INF EUR-AC,ETF
ZPL.TO,America,CAD,TOR,BMO Long Provincial Bond ETF,ETF
LYM9.DU,Europe,EUR,DUS,L UC ETF N EN D EUR,ETF
VXIS.L,Europe,USD,LSE,iPath S&P; 500 VIX Shrt-Trm Fut (DE) ETN,ETF
EL4C.SG,Europe,EUR,STU,DK ST EUSTGR 20,ETF
X500.SW,Europe,CHF,EBS,COMS ILSD OV IC,ETF
MA05.VI,Europe,EUR,VIE,RBS M A DJ T20,ETF
1727732.MU,Europe,EUR,MUN,6.15 DB CAPNCP REG,ETF
SPMV.SW,Europe,EUR,EBS,OL US MV UE1CC,ETF
AUKD.PA,Europe,GBP,PSX,Amundi ETF FTSE UK Dividend Plus,ETF
UQXA.SG,Europe,EUR,STU,DEPFA FDG VRN REG-S,ETF
LYPF.SG,Europe,EUR,STU,MUL LY W INDUST CC,ETF
XECS.L,Europe,USD,LSE,DB X-TRACKERS DBX MSCI EM CONSU,ETF
XS2L.MI,Europe,EUR,MIL,DBX S&P500; X2 1C,ETF
HZAR.PA,Europe,USD,ISE,HSBC MSCI South Africa ETF,ETF
ILF.MX,America,MXN,MEX,ISHS LATIN AMER 40,ETF
XMK9.DE,Europe,EUR,GER,DBXT MSCI JAP 4C,ETF
IECF.SW,Europe,EUR,ISE,iShares Euro Corporate Bond Fincls,ETF
EXSC.DE,Europe,EUR,GER,ISHS STXEULG200,ETF
ESREUA.MI,Europe,EUR,MIL,UBS ETF M EMESR AD,ETF
10449329.SW,Europe,GBP,EBS,ZKB GOLD ETF A GBP,ETF
ITOT.MX,America,MXN,MEX,ISHS CO S&PTOT;,ETF
GLUX.MI,Europe,EUR,PSX,Amundi ETF S&P; Global Luxury EUR A/I,ETF
H4ZB.SG,Europe,EUR,STU,HSBC FTSE 100 G-CT,ETF
NAGS,America,USD,PCX,Teucrium Natural Gas ETF,ETF
YMLI,America,USD,PCX,Yorkville High Income Infras MLP ETF,ETF
EXSC.DU,Europe,EUR,DUS,ISHS STXEULG200,ETF
XDER.MI,Europe,EUR,MIL,DBXT E/N DE RE 1C,ETF
136340.KS,Asia,KRW,KSC,KStar Credit,ETF
XDDX.SG,Europe,EUR,STU,DBXT DAX U IN 1DD,ETF
PJEU.DE,Europe,EUR,ISE,PowerShares EuroMTS Cash 3 Months ETF,ETF
KSMKM-84.TA,Asia,ILS,TLV,MAKAM/KSM SAL S84,ETF
ECNS,America,USD,PCX,iShares MSCI China Small-Cap,ETF
EUNN.F,Europe,EUR,FRA,ISHS CR JP IMI G-CT,ETF
IQQN.HM,Europe,EUR,HAM,ISHS MSCI NH AM G-C,ETF
LYFINW.SW,Europe,USD,EBS,MUL LY W FINANC C ,ETF
XDDX.SW,Europe,CHF,EBS,DBXT DAX U IN 1DD,ETF
GLRE.L,Europe,USD,LSE,SPDR Dow Jones Global Real Estate ETF,ETF
IBC9.F,Europe,EUR,FRA,ISHS GL CO BN G-CT,ETF
XBAG.SG,Europe,EUR,STU,DBX GLOBAL AGG ETF,ETF
SC0K.DE,Europe,EUR,GER,SOUR RUSS USD-A-AC,ETF
VEUR.L,Europe,EUR,LSE,Vanguard FTSE Developed Europe ETF,ETF
XMAW.F,Europe,EUR,FRA,DBX MSACW EUR-1C-AC,ETF
EXXT.F,Europe,EUR,FRA,ISHS NASDAQ-100,ETF
ECN.PA,Europe,EUR,PAR,L C 100 E T E U ETF,ETF
UC59.L,Europe,GBP,LSE,UBS ETF UBS ETF-MSCI EMU HEDGED,ETF
WRDUSY.SW,Europe,USD,ISE,UBS(Irl)ETFplc- MSCI World (USD) A-dis,ETF
EPI.MX,America,MXN,MEX,WSDMTR INDIA EARNIN,ETF
195930.KS,Asia,KRW,KSC,TIGER SYNTH-EURO STOXX 50(H),ETF
HRSPH-74.TA,Asia,ILS,TLV,IXV/HAREL SAL S74,ETF
EXHB.F,Europe,EUR,FRA, ISERGG 1.5-2.5,ETF
CEA1.L,Europe,GBP,LSE,ISHARES VII PLC ISHARES MSCI EM,ETF
14PG.L,Europe,USD,LSE,NBK/HSBC 16 VRN,ETF
XTN,America,USD,PCX,SPDR S&P; Transportation ETF,ETF
INBUND,America,EUR,NIM,PIMCO German Government Bond In,ETF
XTL,America,USD,PCX,SPDR S&P; Telecom ETF,ETF
10332676.SW,Europe,EUR,EBS,ZKB GOLD ETF H EUR,ETF
